t,count
1504531131,852
1504531138,955
1504531138,967
1504531139,1092
1504531158,1202
1504531158,1274
1504531158,1422
1504531158,1583
1504531158,1682
1504531158,1771
1504531171,0
1504531172,0
1504531173,0
1504531174,46
1504531175,178
1504531176,310
1504531177,442
1504531178,574
1504531179,706
1504531180,838
1504531185,976
1504531186,1004
1504531186,1008
1504531186,1109
1504531187,1175
1504531187,1180
1504531189,1205
1504531189,1290
1504531190,1390
1504531195,1452
1504531195,1503
1504531195,1555
1504531195,1601
1504531195,1641
1504531195,1642
1504531199,1734
1504531381,1829
1504531381,1945
1504531381,2028
1504531381,2114
1504531381,2140
1504531381,2199
1504531381,2265
1504531381,2322
1504531381,2377
1504531381,2441
1504531381,2495
1504531381,2545
1504531381,2596
1504531435,0
1504531436,0
1504531437,0
1504531438,48
1504531439,180
1504531445,0
1504531446,0
1504531447,0
1504531448,77
1504531449,209
1504531450,341
1504531451,473
1504531452,605
1504531453,737
1504531454,869
1504531455,1001
1504531456,1134
1504531457,1266
1504531458,1398
1504531459,1529
1504531460,1661
1504531461,1793
1504531462,1925
1504531463,2057
1504531464,2189
1504531465,2321
1504531466,2453
1504531467,2585
1504531468,2717
1504531469,2849
1504531470,2981
1504531471,3113
1504531525,0
1504531526,0
1504531527,0
1504531528,65
1504531529,197
1504531530,328
1504531531,460
1504531532,592
1504531533,725
1504531534,857
1504531535,989
1504531536,1121
1504531537,1253
1504531538,1385
1504531539,1517
1504531540,1647
1504531541,1780
1504531542,1911
1504531543,2045
1504531544,2175
1504531545,2307
1504531546,2439
1504531547,2571
1504531548,2705
1504531549,2835
1504531550,2967
1504531551,3099
1504531749,0
1504531750,0
1504531751,0
1504531752,47
1504531753,179
1504531754,310
1504531755,442
1504531756,574
1504531757,707
1504531758,838
1504531762,980
1504531763,989
1504531764,1109
1504531764,1192
1504531794,1235
1504531794,1328
1504531795,1404
1504531795,1478
1504531795,1556
1504531795,1664
1504531795,1758
1504531795,1849
1504531795,1915
1504531795,1930
1504531795,1930
1504531795,2025
1504531795,2120
1504531795,2121
1504531795,2125
1504531795,2129
1504531795,2129
1504531795,2130
1504531795,2132
1504531795,2132
1504531795,2133
1504531795,2135
1504531795,2135
1504531795,2136
1504531795,2136
1504531795,2137
1504531795,2139
1504531795,2139
1504531795,2140
1504531795,2141
1504531795,2143
1504531795,2144
1504531796,2187
1504531796,2283
1504531799,2373
1504531799,2474
1504531827,2566
1504531827,2649
1504531830,2763
1504531830,2862
1504531830,2913
1504531832,3028
1504531833,3111
1504531833,3128
1504531838,3219
1504531838,3298
1504531840,3370
1504531840,3441
1504531856,3463
1504531856,3524
1504531856,3597
1504531856,3673
1504531856,3736
1504531856,3767
1504531856,3822
1504531856,3822
1504531856,3822
1504531856,3824
1504531856,3824
1504531856,3824
1504531856,3826
1504531856,3826
1504531856,3827
1504531856,3828
1504531856,3829
1504531856,3830
1504531856,3831
1504531856,3831
1504531856,3832
1504531856,3832
1504531856,3832
1504531856,3832
1504531856,3833
1504531856,3834
1504532226,0
1504532227,0
1504532228,0
1504532229,8
1504532230,20
1504532231,32
1504532232,44
1504532233,56
1504532234,68
1504532235,80
1504532236,92
1504532237,104
1504532282,0
1504532283,0
1504532284,0
1504532285,6
1504532286,18
1504532287,30
1504532288,42
1504532289,54
1504532290,66
1504532291,78
1504532295,85
1504532295,85
1504532295,94
1504532298,103
1504532298,108
1504532300,113
1504532300,123
1504532300,123
1504532300,123
1504532304,128
1504532304,137
1504532304,142
1504532304,148
1504532360,0
1504532361,0
1504532362,0
1504532363,3
1504532364,15
1504532365,27
1504532366,39
1504532367,51
1504532368,63
1504532369,75
1504532370,87
1504532371,99
1504532428,0
1504532429,0
1504532430,0
1504532431,4
1504532432,16
1504532433,28
1504532434,40
1504532435,52
1504532436,64
