t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504683334,55,21065659,11675846.363636,0,3841545.027178,11079685.000000,13785847.000000,18343401.600000,20804241.040000,21065659.000000,21065659.000000
1504683336,56,21065659,11665200.625000,0,3807295.256522,11079685.000000,13785847.000000,18309415.700000,20760671.380000,21065659.000000,21065659.000000
1504683337,57,21065659,11654928.421053,0,3773945.354996,11079685.000000,13785847.000000,18275429.800000,20717101.720000,21065659.000000,21065659.000000
1504683338,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
1504683342,61,21065659,11810827.666667,0,3348708.699688,11079685.000000,13785847.000000,18119061.400000,20586392.740000,21065659.000000,21065659.000000
