t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504503437,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503438,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503439,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503440,4,646289,161572.250000,0,323144.500000,0.000000,484716.750000,646289.000000,646289.000000,646289.000000,646289.000000
1504503441,5,646289,258515.600000,0,353987.063967,0.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503442,6,646289,323144.500000,0,353987.063967,323144.500000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503443,7,646289,369308.000000,0,345456.001549,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503444,8,646289,403930.625000,0,334486.335211,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503445,9,646289,430859.333333,0,323144.500000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503446,10,646289,452402.300000,0,312187.246197,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503447,11,646289,470028.363636,0,301881.182474,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503448,12,646289,484716.750000,0,292295.198064,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503449,13,646289,497145.384615,0,283416.475120,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503450,14,646289,507798.500000,0,275199.753228,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503451,15,646289,517031.200000,0,267589.068169,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503452,16,646289,525109.812500,0,260527.424895,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503453,17,646289,532238.000000,0,253960.958410,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503454,18,646289,538574.166667,0,247840.517839,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503455,19,646289,544243.368421,0,242122.043033,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503456,20,646289,549345.650000,0,236766.390794,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504503457,21,646289,553962.000000,0,231738.930809,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000,646289.000000
1504510409,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510410,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510466,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510467,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
