t,count
1493885575,12
1493885576,13
1493885577,14
1493885578,15
1493885579,16
1493885580,17
1493885581,18
1493885582,19
1493885583,20
1493885584,21
1493885585,22
1493885586,23
1493885587,24
1493885588,25
1493885589,26
1493885590,27
1493885591,28
1493885592,29
1493885593,30
1493885594,31
1493885595,32
1493885596,33
1493885597,36
1493885598,37
1493885599,38
1493885600,39
1493885601,40
1493885602,41
1493885603,42
1493885604,43
1493885605,44
1493885606,45
1493885607,46
1493885608,47
1493885609,48
1493885610,49
1493885611,50
1493885612,51
1493885613,52
1493885614,53
1493885615,54
1493885761,0
1493885762,0
1493885763,3
1493885764,4
1493885765,5
1493885766,6
1493885767,9
1493885768,10
1493885769,11
1493885770,12
1493885771,13
1493885772,14
1493885773,15
1493885774,16
1493885775,17
1493885776,18
1493885777,19
1493885778,20
1493885779,21
1493885780,22
1493885781,23
1493885782,24
1493885783,25
1493885784,26
1493885785,27
1493885786,28
1493885787,29
1493885788,30
1493885789,31
1493885790,32
1493885791,33
1493885792,36
1493885793,37
1493885794,38
1493885795,39
1493885796,40
1493885797,41
1493885798,42
1493885799,43
1493885800,44
1493885801,45
1493885802,46
1493885803,47
1493885804,48
1493885805,49
1493885806,50
1493885807,51
1493885808,52
1493885809,53
1493885810,54
1493889310,0
1493889311,0
1493889312,3
1493889313,4
1493889314,5
1493889315,6
1493889316,9
1493889317,10
1493889318,11
1493889319,12
1493889320,13
1493889321,14
1493889322,15
1493889323,16
1493889324,17
1493889325,18
1493889326,19
1493889327,20
1493889328,21
1493889329,22
1493889330,23
1493889331,24
1493889332,25
1493889333,26
1493889334,27
1493889335,28
1493889336,29
1493889337,30
1493889338,31
1493889339,32
1493889340,33
1493889341,36
1493889342,37
1493889343,38
1493889344,39
1493889345,40
1493889346,41
1493889347,42
1493889348,43
1493889349,44
1493889350,45
1493889351,46
1493889352,47
1493889353,48
1493889354,49
1493889355,50
1493889356,51
1493889357,52
1493889358,53
1493889359,54
1493896953,0
1493896954,0
1493896955,0
1493896956,3
1493896957,4
1493896958,5
1493896959,6
1493896960,9
1493896961,10
1493896962,11
1493896963,12
1493896964,13
1493896965,14
1493896966,15
1493896967,16
1493896968,17
1493896969,18
1493896970,19
1493896971,20
1493896972,21
1493896973,22
1493896974,23
1493896975,24
1493896976,25
1493896977,26
1493896978,27
1493896979,28
1493896980,29
1493896981,30
1493896982,31
1493896983,32
1493896984,33
1493896985,36
1493896986,37
1493896987,38
1493896988,39
1493896989,40
1493896990,41
1493896991,42
1493896992,43
1493896993,44
1493896994,45
1493896995,46
1493896996,47
1493896997,48
1493896998,49
1493896999,50
1493897000,51
1493897001,52
1493897002,53
1493897003,54
1493897433,0
1493897434,0
1493897435,0
1493897436,3
1493897437,4
1493897438,5
1493897439,6
1493897440,9
1493897441,10
1493897442,11
1493897443,12
1493897444,13
1493897445,14
1493897446,15
1493897447,16
1493897448,17
1493897449,18
1493897450,19
1493897451,20
1493897452,21
1493897453,22
1493897454,23
1493897455,24
1493897456,25
1493897457,26
1493897458,27
1493897459,28
1493897460,29
1493897461,30
1493897462,31
1493897463,32
1493897464,35
1493897465,36
1493897466,37
1493897467,38
1493897468,39
1493897469,40
1493897470,41
1493897471,42
1493897472,43
1493897473,44
1493897474,45
1493897475,46
1493897476,47
1493897477,48
1493897478,49
1493897479,50
1493897480,51
1493897481,52
1493897482,53
1493897483,54
1493897484,55
1493897485,56
1493897486,57
1493897487,58
1493897488,59
1493897489,60
1493897490,61
1493897491,62
1493897492,63
1493897493,64
1493897494,65
1493897495,66
1493897496,67
1493898722,0
1493898723,0
1493898724,3
1493898725,4
1493898726,5
1493898727,6
1493898728,9
1493898729,10
1493898730,11
1493898731,12
1493898732,13
1493898733,14
1493898734,15
1493898735,16
1493898736,17
1493898737,18
1493898738,19
1493898739,20
1493898740,21
1493898741,22
1493898742,23
1493898743,24
1493898744,25
1493898745,26
1493898746,27
1493898747,28
1493898748,29
1493898749,30
1493898750,31
1493898751,32
1493898752,33
1493898753,34
1493898754,35
1493898755,36
1493898756,37
1493898757,38
1493898758,39
1493898759,40
1493898760,41
1493898761,42
1493898762,43
1493898763,44
1493898764,45
1493898765,46
1493898766,47
1493898767,48
1493898768,49
1493898769,50
1493898770,51
1493898771,52
1493898772,53
1493898773,54
1493898774,55
1493898775,56
1493898776,57
1493898777,58
1493898778,59
1493898779,60
1493898780,61
1493898781,62
1493898782,63
1493898783,64
1493898784,65
1493898785,66
1493898786,67
1493898787,68
1493898788,69
1493898789,70
1493898790,71
1493898791,72
1493898792,73
1493898793,76
1493898794,77
1493898795,78
1493898796,79
1493898797,80
1493898798,81
1493898799,82
1493898800,83
1493898801,84
1493898802,85
1493898803,86
1493898804,87
1493898805,88
1493898806,89
1493898807,90
1493898808,91
1493898809,92
1493898810,93
1493898811,94
1493898812,95
1493898813,96
1493898814,97
1493898815,98
1493898816,99
1493898817,100
1493954134,0
1493954135,0
1493954136,0
1493954137,3
1493954138,3
1493954139,4
1493954140,5
1493954424,0
1493954425,0
1493954426,3
1493954427,3
1493954428,4
1493954429,5
1493954893,0
1493954894,0
1493954895,3
1493954896,3
1493954897,4
1493954898,5
1493955053,0
1493955054,0
1493955055,2
1493955056,3
1493955057,4
1493955058,5
1493955059,8
1493955075,0
1493955076,0
1493955077,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955098,0
1493955241,0
1493955241,0
1493955241,0
1493955241,0
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955241,1
1493955261,0
1493955262,0
1493955268,0
1493955268,0
1493955268,0
1493955268,0
1493955268,0
1493955268,0
1493955269,0
1493955284,0
1493955284,0
1493955284,1
1493955317,1
1493955317,1
1493955317,1
1493955317,1
1493955317,1
1493955317,1
1493955317,2
1493955317,2
1493973724,0
1493973725,0
1493973726,3
1493973727,4
1493973728,5
1493973729,6
1493974341,0
1493974342,0
1493974343,3
1493974344,4
1493974345,5
1493974346,6
1493974468,0
1493974469,0
1493974470,3
1493974471,4
1493974472,5
1493974473,6
1493974636,0
1493974637,0
1493974638,3
1493974639,4
1493974640,5
1493974641,6
1493975821,0
1493975822,0
1493975823,0
1493975826,0
1493975826,0
1493975827,0
1493975829,0
1493975829,0
1493975829,1
1493975831,3
1493975831,4
1493975832,5
1493975833,6
1493975847,8
1493975851,8
1493975851,10
1493975851,10
1493975851,10
1493975851,10
1493975851,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975852,10
1493975853,10
1493975853,11
1493975879,0
1493975880,0
1493975886,0
1493975886,0
1493975886,0
1493975886,0
1493975886,0
1493975894,0
1493975894,0
1493975894,0
1493975894,0
1493975894,1
1493975894,1
1493975894,1
1493975894,1
1493975894,2
1493975898,4
1493975898,5
1493975898,6
1493975898,6
1493975899,6
1493975900,8
1493975901,8
1493975911,10
1493975911,10
1493975911,10
1493975911,10
1493975911,10
1493975911,10
1493975911,10
1493975911,10
1493975911,10
1493975913,10
1493975913,11
1493975916,11
1493975916,11
1493975920,11
1493975968,0
1493975969,0
1493975970,3
1493975971,3
1493975972,5
1493975975,6
1493975977,9
1493975977,9
1493975977,9
1493975977,9
1493975978,10
1493976325,0
1493976326,0
1493976327,3
1493976328,4
1493976329,5
1493976330,6
1493985706,0
1493985707,0
1493985708,3
1493985709,4
1493985710,5
1493985711,6
1493988717,0
1493988718,0
1493988719,3
1493988720,4
1493988721,5
1493988722,6
1494047732,0
1494047733,0
1494047734,3
1494047735,4
1494047736,5
1494047737,6
1494055596,0
1494055597,0
1494055771,0
1494055772,0
1494055773,3
1494055774,5
1494055775,8
1494055776,11
1494055777,14
1494055778,17
1494055779,20
1494055780,23
1494055781,26
1494055782,29
1494055783,32
1494055784,35
1494055785,38
1494055786,41
1494055787,44
1494055788,47
1494055789,50
1494055790,53
1494055791,56
1494055792,59
1494055793,62
1494055794,65
1494055795,68
1494055796,71
1494055797,74
1494055798,77
1494055799,80
1494055800,83
1494055801,86
1494055802,89
1494055803,92
1494055804,95
1494055805,98
1494055806,101
1494055807,104
1494055808,107
1494055809,110
1494055810,113
1494055811,116
1494055812,119
1494055813,122
1494055814,125
1494055815,128
1494055816,131
1494055817,134
1494055818,137
1494055819,140
1494055820,143
1494055821,146
1494055822,149
1494055823,152
1494055824,155
1494055825,158
1494055826,161
1494055827,164
1494055828,167
1494055829,170
1494055830,173
1494055831,176
1494055832,179
1494055833,182
1494055834,185
1494055835,188
1494055836,191
1494055837,194
1494055838,197
1494055839,200
1494055840,203
1494055841,206
1494055842,209
1494055843,212
1494055844,215
1494055845,218
1494055846,221
1494055847,224
1494055848,227
1494055849,230
1494055850,233
1494055851,236
1494055852,239
1494055853,242
1494055854,245
1494055855,248
1494055856,251
1494055857,254
1494055858,257
1494055859,260
1494055860,263
1494055861,266
1494055862,269
1494055863,272
1494055864,275
1494055865,278
1494055866,281
1494055867,284
1494055868,287
1494055869,290
1494055870,293
1494055871,296
1494055872,299
1494055873,302
1494055874,305
1494055875,308
1494055882,0
1494055883,0
1494055895,3
1494055906,3
1494055906,3
1494055906,3
1494055906,3
1494055906,3
1494055906,3
1494055906,3
1494055906,3
1494055927,0
1494055928,0
1494055938,3
1494055965,3
1494055965,3
1494055965,3
1494055965,3
1494055965,3
1494055965,4
1494055965,4
1494055965,4
1494055976,0
1494055977,0
1494055978,5
1494055979,8
1494055980,11
1494055981,14
1494055982,19
1494055983,24
1494055984,27
1494055985,30
1494056325,0
1494056326,0
1494056327,5
1494056328,6
1494056329,9
1494056330,12
1494056331,17
1494056332,22
1494056333,25
1494056334,28
1494056364,0
1494056365,0
1494056370,3
1494056370,3
1494056370,3
1494056370,3
1494056370,3
1494056371,5
1494056376,7
1494056376,7
1494056387,7
1494056387,7
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494056387,11
1494057308,0
1494057309,0
1494057310,5
1494057311,6
1494057312,9
1494057317,15
1494057376,18
1494057376,21
1494057376,22
1494057376,25
1494057376,25
1494057376,25
1494057376,25
1494057382,0
1494057383,0
1494057384,5
1494057385,5
1494057386,8
1494057387,11
1494057497,0
1494057498,0
1494057499,1
1494057500,2
1494057501,3
1494057502,4
1494057503,7
1494057504,8
