t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504502659,17,25431990,10471995.882353,0,12901639.783377,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502660,18,25431990,11303106.666667,0,13003630.617811,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502661,19,25431990,12046732.105263,0,13046335.595223,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502662,20,25431990,12715995.000000,0,13046335.595223,12715995.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502663,21,25431990,13321518.571429,0,13015235.823706,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502690,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502691,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502692,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502693,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502694,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502695,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502696,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502697,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502698,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502699,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502700,11,26965388,2451398.909091,0,8130370.392941,0.000000,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502701,12,26965388,4494231.333333,0,10496263.043453,0.000000,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502702,13,26965388,6222781.846154,0,11825104.894563,0.000000,13482694.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502703,14,26965388,7704396.571429,0,12641568.879462,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502704,15,26965388,8988462.666667,0,13157762.058143,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502705,16,26965388,10112020.500000,0,13482694.000000,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502706,17,26965388,11103395.058824,0,13679532.061589,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502707,18,26965388,11984616.888889,0,13787672.337790,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502708,19,26965388,12773078.526316,0,13832952.171788,0.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502709,20,26965388,13482694.000000,0,13832952.171788,13482694.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504502710,21,26965388,14124727.047619,0,13799977.268698,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000,26965388.000000
1504503437,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503438,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503439,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503440,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503441,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503442,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503443,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503444,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503445,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503446,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504503447,11,26822235,2438385.000000,0,8087208.139431,0.000000,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503448,12,26822235,4470372.500000,0,10440540.813776,0.000000,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503449,13,26822235,6189746.538462,0,11762328.151244,0.000000,13411117.500000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503450,14,26822235,7663495.714286,0,12574457.717932,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503451,15,26822235,8940745.000000,0,13087910.546571,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503452,16,26822235,10058338.125000,0,13411117.500000,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503453,17,26822235,11044449.705882,0,13606910.593905,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503454,18,26822235,11920993.333333,0,13714476.778424,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503455,19,26822235,12705269.210526,0,13759516.232270,0.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503456,20,26822235,13411117.500000,0,13759516.232270,13411117.500000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504503457,21,26822235,14049742.142857,0,13726716.385303,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000,26822235.000000
1504510409,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510410,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510466,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510467,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510663,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510664,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510665,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510666,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510667,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510668,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
